recording_id,issue_type,detail,severity
fd398df9d9ef0cdabc77f9f6c2348412c428feaa,missing_field,sample_rate,error
ad609d7adc96bfbd0208668ce22676bed9e70589,missing_field,sample_rate,error
ad609d7adc96bfbd0208668ce22676bed9e70589,missing_gender,gender null or unrecognized,note
ad99c5742abc36afd3589a1d9049c2747e67bf48,missing_field,sample_rate,error
ad99c5742abc36afd3589a1d9049c2747e67bf48,missing_gender,gender null or unrecognized,note
20594035a59f8a334e0368855c724676c6d214b1,missing_field,sample_rate,error
8c92218983ca39d0b79e93ef03d2421fc544d68d,missing_field,sample_rate,error
39de1b77640e790a229e126d9cb1883e58f8e710,missing_field,sample_rate,error
8afe81b19ee0b6f4082e52acf32b266d6e220455,missing_field,sample_rate,error
8afe81b19ee0b6f4082e52acf32b266d6e220455,missing_gender,gender null or unrecognized,note
3eb8b4c6fe608d385a39cc6f10c2a0157ca49572,missing_field,sample_rate,error
c5599b0e246c56aff14fbf099d81666f3bb31088,missing_field,sample_rate,error
c5599b0e246c56aff14fbf099d81666f3bb31088,missing_gender,gender null or unrecognized,note
598318bed47eb5dc41a8eb58b05b6f0524c7530b,missing_field,sample_rate,error
47ee96b9b8e59035928e214503dbda7b7e029718,missing_gender,gender null or unrecognized,note
95f14d6c8a77edc5b878cb137202fdb466a6d4aa,missing_field,sample_rate,error
95f14d6c8a77edc5b878cb137202fdb466a6d4aa,missing_gender,gender null or unrecognized,note
431e71a851ba23d07c5dd4552d8f7f3e2a3aa75f,missing_field,sample_rate,error
431e71a851ba23d07c5dd4552d8f7f3e2a3aa75f,missing_gender,gender null or unrecognized,note
4855018cb056918820b3cf50f55f570580ac6df5,missing_field,sample_rate,error
4855018cb056918820b3cf50f55f570580ac6df5,missing_gender,gender null or unrecognized,note
48bd9fa0496c704307f27832573d5b98762c029f,missing_gender,gender null or unrecognized,note
27937d9ce8536c4e3b1bf71cf4ede8f25d41ff3a,missing_gender,gender null or unrecognized,note
ca030f2e3ea27766d0bc9fe77a83c0accbf8d11b,missing_field,sample_rate,error
ca030f2e3ea27766d0bc9fe77a83c0accbf8d11b,missing_gender,gender null or unrecognized,note
097bd7662a902572c03b6e7df0e83ab046e6493b,missing_field,sample_rate,error
097bd7662a902572c03b6e7df0e83ab046e6493b,missing_gender,gender null or unrecognized,note
dd1381ec9c33670aecd12ed72b03c1f517ad97ad,missing_field,sample_rate,error
dd1381ec9c33670aecd12ed72b03c1f517ad97ad,missing_gender,gender null or unrecognized,note
0e6e88029b4f0f6c90b6a4bde856806af356d536,missing_gender,gender null or unrecognized,note
